科目名,単位数,区分,第二区分,第三区分,必選自,配当年,配当期,教職コード,備考,JABEE目標,JABEE電力,JABEEシステム,JABEEデバイス
微分積分学Ⅰ,2.0,工学基礎科目,自然科学科目,数学,必修,1,前期,,後期に再履修クラスを開講初歩クラスは週2コマ,,,,
線形代数学Ⅰ,2.0,工学基礎科目,自然科学科目,数学,必修,1,前期,,後期に再履修クラスを開講オープン科目,,,,
数学演習B,2.0,工学基礎科目,自然科学科目,数学,必修,1,前期,,後期に再履修クラスを開講,,,,
数理・データサイエンス入門,2.0,工学基礎科目,自然科学科目,情報,必修,1,前期,基礎要件,,,,,
コンピュータプログラミングⅠ,2.0,工学基礎科目,自然科学科目,情報,必修,1,前期／後期,基礎要件,,,,,
物理学実験,1.0,工学基礎科目,自然科学科目,自然科学技術,必修,1,前期／後期,,週2コマ開講、「化学実験」との隔週開講初回の履修は、後期開講のクラスを履修すること,,,,
化学実験,1.0,工学基礎科目,自然科学科目,自然科学技術,必修,1,前期／後期,,週2コマ開講、「物理学実験」との隔週開講初回の履修は、後期開講のクラスを履修すること,,,,
科学技術概論A,2.0,工学基礎科目,自然科学科目,自然科学技術,選択,1,前期／後期,,左記の科目から2科目を選択オープン科目,,,,
科学技術概論B,2.0,工学基礎科目,自然科学科目,自然科学技術,選択,1,前期／後期,,,,,,
科学技術概論C,2.0,工学基礎科目,自然科学科目,自然科学技術,選択,1,前期／後期,,,,,,
科学技術概論D,2.0,工学基礎科目,自然科学科目,自然科学技術,選択,1,前期／後期,,,,,,
科学技術概論E,2.0,工学基礎科目,自然科学科目,自然科学技術,選択,1,前期／後期,,,,,,
ハンズオンワークショップ,2.0,工学基礎科目,ハンズオンワークショップ,自然科学技術,必修,1,前期,,,,,,
ディジタル回路,2.0,専門教育科目,専門科目,学科基礎,必修,1,後期,114コンピュ・1310情②,,,,,
確率・統計,2.0,専門教育科目,専門科目,学科基礎,必修,1,後期,113確統,メディア科目,,,,
情報通信基礎,2.0,専門教育科目,専門科目,学科基礎,必修,1,後期,1330情④,,,,,
情報通信とネットワーク,3.0,専門教育科目,専門科目,学科基礎,必修,2,前期,1330情④,,,,,
データベースシステム,2.0,専門教育科目,専門科目,学科基礎,必修,2,前期,1320情③,,,,,
コンピュータ構成,2.0,専門教育科目,専門科目,学科基礎,必修,2,前期,114コンピュ・1310情②,,,,,
