科目名,単位数,区分,第二区分,第三区分,必選自,配当年,配当期,教職コード,備考,JABEE目標,JABEE電力,JABEEシステム,JABEEデバイス
微分積分学および演習Ⅰ,4.0,工学基礎科目,数学,,必修,1,前期／後期,,初回の履修は、前期開講のクラスを履修すること,,,,
線形代数学Ⅰ,2.0,工学基礎科目,数学,,必修,1,前期／後期,,初回の履修は、前期開講のクラスを履修すること,,,,
線形代数学Ⅱ,2.0,工学基礎科目,数学,,必修,1,後期,110代数,,,,,
基礎物理学,2.0,工学基礎科目,自然科学技術,,選択,1,前期／後期,,後期は再履修クラスの開講,,,,
物理基礎および物理実験,1.0,工学基礎科目,自然科学技術,,必修,1,前期／後期,,週2コマ開講「化学基礎および化学実験」との隔週開講,,,,
化学基礎および化学実験,1.0,工学基礎科目,自然科学技術,,必修,1,前期／後期,,週2コマ開講「物理基礎および物理実験」との隔週開講,,,,
物理学概論および演習A,2.0,工学基礎科目,自然科学技術,,択一必修,1,後期,,択一必修（左記の科目から2単位を修得すること）,,,,
物理学概論および演習B,2.0,工学基礎科目,自然科学技術,,必修,1,後期,,,,,,
物理学概論および演習C,2.0,工学基礎科目,自然科学技術,,必修,1,後期,,,,,,
科学技術概論A,2.0,工学基礎科目,自然科学技術,,必修,1,前期／後期,,,,,,
科学技術概論B,2.0,工学基礎科目,自然科学技術,,必修,1,前期／後期,,,,,,
科学技術概論C,2.0,工学基礎科目,自然科学技術,,必修,1,前期／後期,,,,,,
科学技術概論D,2.0,工学基礎科目,自然科学技術,,必修,1,前期／後期,,,,,,
ワークショップ,2.0,工学基礎科目,ワークショップ,,必修,1,前期,,,,,,
情報リテラシー（数理・データサイエンス入門）,2.0,工学基礎科目,情報,,必修,1,前期,基礎要件,,,,,
コンピュータプログラミングⅠ,2.0,工学基礎科目,情報,,必修,1,前期,基礎要件,,,,,
情報通信メディア基礎,2.0,専門教育科目,専門科目,情報通信工学基礎,必修,1,前期,133情④,,,,,
電気回路基礎および演習,3.0,専門教育科目,専門科目,情報通信工学基礎,必修,1,後期,160工業,,,,,
電子回路基礎,2.0,専門教育科目,専門科目,情報通信工学基礎,必修,2,前期,160工業,,,,,
複素数基礎,2.0,専門教育科目,専門科目,情報通信工学基礎,選択,1,前期,,,,,,
信号理論,2.0,専門教育科目,専門科目,回路信号基礎科目,選択,2,前期,160工業,,,,,
信号システム解析,2.0,専門教育科目,専門科目,回路信号基礎科目,選択,2,前期,160工業,,,,,
論理回路および論理設計,2.0,専門教育科目,専門科目,回路信号基礎科目,必修,2,前期,160工業,,,,,
電子回路応用,2.0,専門教育科目,専門科目,回路信号基礎科目,選択,2,後期,160工業,,,,,
ディジタル回路,2.0,専門教育科目,専門科目,回路信号基礎科目,選択,2,後期,160工業,,,,,
ディジタル信号処理,2.0,専門教育科目,専門科目,回路信号基礎科目,選択,2,後期,160工業,,,,,
情報通信デバイス,2.0,専門教育科目,専門科目,回路信号基礎科目,選択,3,前期,160工業,,,,,
高周波の基礎,2.0,専門教育科目,専門科目,回路信号基礎科目,選択,3,前期,160工業,,,,,
計測制御工学,2.0,専門教育科目,専門科目,回路信号基礎科目,選択,3,前期,160工業,,,,,
通信理論基礎,2.0,専門教育科目,専門科目,通信メディア科目,選択,2,後期,160工業,,,,,
情報処理・通信技術基礎,2.0,専門教育科目,専門科目,通信メディア科目,自由,2,後期,160工業,,,,,
通信システム,2.0,専門教育科目,専門科目,通信メディア科目,選択,3,前期,160工業,,,,,
メディアと信号処理,2.0,専門教育科目,専門科目,通信メディア科目,選択,3,前期,160工業,,,,,
情報ネットワーク,2.0,専門教育科目,専門科目,通信メディア科目,選択,3,前期,133情④,,,,,
通信ネットワーク,2.0,専門教育科目,専門科目,通信メディア科目,選択,3,後期,160工業,,,,,
通信法規,2.0,専門教育科目,専門科目,通信メディア科目,選択,3,後期,160工業,,,,,
画像処理工学,2.0,専門教育科目,専門科目,通信メディア科目,選択,3,後期,134情⑤,,,,,
音声・音響情報工学,2.0,専門教育科目,専門科目,通信メディア科目,選択,3,後期,134情⑤,,,,,
光通信工学,2.0,専門教育科目,専門科目,通信メディア科目,選択,34,前期,160工業,,,,,
マルチメディア通信工学,2.0,専門教育科目,専門科目,通信メディア科目,選択,4,前期,134情⑤,,,,,
ワイヤレスシステム工学,2.0,専門教育科目,専門科目,通信メディア科目,選択,4,前期,160工業,,,,,
コンピュータグラフィクス,2.0,専門教育科目,専門科目,通信メディア科目,選択,4,前期,134情⑤,,,,,
コンピュータプログラミングⅡ,4.0,専門教育科目,専門科目,コンピュータ科目,必修,1,後期,114コンピュ,,,,,
数値解析,2.0,専門教育科目,専門科目,コンピュータ科目,選択,2,前期,160工業,,,,,
基礎プログラミング演習,2.0,専門教育科目,専門科目,コンピュータ科目,必修,2,前期,160工業,,,,,
インターネットプログラミング,2.0,専門教育科目,専門科目,コンピュータ科目,選択,2,前期,132情③,,,,,
データ構造とアルゴリズムⅠ,2.0,専門教育科目,専門科目,コンピュータ科目,必修,2,後期,131情②,,,,,
データ構造とアルゴリズムⅡ,2.0,専門教育科目,専門科目,コンピュータ科目,選択,3,後期,131情②,,,,,
コンピュータアーキテクチャ,2.0,専門教育科目,専門科目,コンピュータ科目,選択,3,前期,160工業,,,,,
オブジェクト指向プログラミング,2.0,専門教育科目,専門科目,コンピュータ科目,選択,3,前期,131情②,,,,,
サーバープログラミング演習,2.0,専門教育科目,専門科目,コンピュータ科目,選択,3,前期,131情②,,,,,
ハードウェア演習A,2.0,専門教育科目,専門科目,コンピュータ科目,選択,2,後期,131情②,,,,,
ハードウェア演習B,2.0,専門教育科目,専門科目,コンピュータ科目,選択,3,後期,131情②,,,,,
特別プログラミング演習,2.0,専門教育科目,専門科目,コンピュータ科目,選択,3,後期,131情②,,,,,
人工知能プログラミング演習,2.0,専門教育科目,専門科目,コンピュータ科目,選択,3,後期,131情②,,,,,
ネットワークセキュリティと暗号,2.0,専門教育科目,専門科目,コンピュータ科目,選択,3,後期,133情④,,,,,
データ解析,2.0,専門教育科目,専門科目,コンピュータ科目,選択,3,前期,132情③,,,,,
データベース,2.0,専門教育科目,専門科目,コンピュータ科目,選択,3,後期,132情③,,,,,
ワークショップⅡ,2.0,専門教育科目,専門科目,実験科目,必修,1,後期,,,,,,
情報通信基礎実験,4.0,専門教育科目,専門科目,実験科目,必修,2,通年,160工業,,,,,
情報通信工学実験,4.0,専門教育科目,専門科目,実験科目,必修,3,通年,131情②,,,,,
情報通信プロジェクト,3.0,専門教育科目,専門科目,実験科目,必修,4,通年,132情③,,,,,
卒業研究,6.0,専門教育科目,専門科目,卒科業目研究,必修,4,通年,,,,,,
微分積分学および演習Ⅱ,4.0,専門教育科目,専門科目,数学科目,選択,1,後期,112解析,,,,,
微分方程式Ⅰ,2.0,専門教育科目,専門科目,数学科目,選択,2,前期,112解析,,,,,
情報通信数学A（離散数学）,2.0,専門教育科目,専門科目,数学科目,選択,12,後期,114コンピュ,,,,,
情報通信数学B（確率論と情報理論）,2.0,専門教育科目,専門科目,数学科目,選択,2,前期,113確統,,,,,
情報通信数学C（代数と符号理論）,2.0,専門教育科目,専門科目,数学科目,選択,2,後期,110代数,,,,,
電磁気学基礎および演習,3.0,専門教育科目,専門科目,物理科目,必修,2,前期,160工業,,,,,
応用物理学,2.0,専門教育科目,専門科目,物理科目,選択,2,後期,160工業,,,,,
電磁気学応用,2.0,専門教育科目,専門科目,物理科目,選択,2,後期,160工業,,,,,
インターンシップ,2.0,専門教育科目,キャリア科目,物理科目,選択,3,通年,,,,,,
ビジネス論,2.0,専門教育科目,キャリア科目,物理科目,選択,3,前期,,,,,,
職業指導,2.0,専門教育科目,キャリア科目,物理科目,自由,3,前期,161職指,,,,,
コンピュータ基礎および演習Ⅲ,2.0,専門教育科目,キャリア科目,物理科目,自由,234,前期,131情②,,,,,
情報システムの基礎および演習,2.0,専門教育科目,キャリア科目,物理科目,自由,234,後期,132情③,,,,,
情報通信ネットワークの基礎および演習,2.0,専門教育科目,キャリア科目,物理科目,自由,234,後期,133情④,,,,,
マルチメディア表現技術の基礎および演習,2.0,専門教育科目,キャリア科目,物理科目,自由,234,前期,134情⑤,,,,,
線形代数学Ⅲ,2.0,専門教育科目,キャリア科目,物理科目,自由,2,前期,110代数,,,,,
数式処理,2.0,専門教育科目,キャリア科目,物理科目,自由,2,前期,114コンピュ,,,,,
代数学入門,2.0,専門教育科目,キャリア科目,物理科目,自由,1,後期,110代数,,,,,
解析学,2.0,専門教育科目,キャリア科目,物理科目,自由,3,前期,112解析,,,,,
幾何学,2.0,専門教育科目,キャリア科目,物理科目,自由,3,前期,111幾何,,,,,
代数学,2.0,専門教育科目,キャリア科目,物理科目,自由,2,後期,110代数,,,,,
微分幾何学,2.0,専門教育科目,キャリア科目,物理科目,自由,3,後期,111幾何,,,,,
確率・統計Ⅰ,2.0,専門教育科目,キャリア科目,物理科目,自由,2,前期,113確統,,,,,
確率・統計Ⅱ,2.0,専門教育科目,キャリア科目,物理科目,自由,2,後期,113確統,,,,,
複素解析学Ⅰ,2.0,専門教育科目,キャリア科目,物理科目,自由,3,前期,112解析,,,,,
