科目名,単位数,区分,第二区分,第三区分,必選自,配当年,配当期,教職コード,備考,JABEE目標,JABEE電力,JABEEシステム,JABEEデバイス
微分積分学および演習Ⅰ,4.0,工学基礎科目,数学,,必修,1,前期／後期,,初回の履修は、前期開講のクラスを履修すること,,,,
線形代数学Ⅰ,2.0,工学基礎科目,数学,,必修,1,前期／後期,,初回の履修は、前期開講のクラスを履修すること,,,,
基礎物理学,2.0,工学基礎科目,自然科学技術,,必修,1,前期／後期,,後期は再履修クラスの開講,,,,
物理基礎および物理実験,1.0,工学基礎科目,自然科学技術,,必修,1,前期／後期,,週2コマ開講「化学基礎および化学実験」との隔週開講,,,,
化学基礎および化学実験,1.0,工学基礎科目,自然科学技術,,必修,1,前期／後期,,週2コマ開講「物理基礎および物理実験」との隔週開講,,,,
物理学概論および演習A,2.0,工学基礎科目,自然科学技術,,選択,1,後期,,,,,,
物理学概論および演習B,2.0,工学基礎科目,自然科学技術,,選択,1,後期,,,,,,
物理学概論および演習C,2.0,工学基礎科目,自然科学技術,,選択,1,後期,,,,,,
科学技術概論A,2.0,工学基礎科目,自然科学技術,,択一必修,1,前期／後期,,択一必修（左記の科目から2単位を修得すること）,,,,
科学技術概論B,2.0,工学基礎科目,自然科学技術,,必修,1,前期／後期,,,,,,
科学技術概論C,2.0,工学基礎科目,自然科学技術,,必修,1,前期／後期,,,,,,
科学技術概論D,2.0,工学基礎科目,自然科学技術,,必修,1,前期／後期,,,,,,
ワークショップ,2.0,工学基礎科目,ワークショップ,,必修,1,前期,,,,,,
情報リテラシー（数理・データサイエンス入門）,2.0,工学基礎科目,情報,,必修,1,前期,基礎要件,,,,,
コンピュータプログラミングⅠ,2.0,工学基礎科目,情報,,必修,1,後期,基礎要件,,,,,
微分積分学および演習Ⅱ,4.0,専門教育科目,数学,,選択,1,後期,,,,,,
線形代数学Ⅱ,2.0,専門教育科目,数学,,選択,1,後期,,,,,,
微分方程式Ⅰ,2.0,専門教育科目,数学,,必修,2,前期,,,,,,
微分方程式Ⅱ,2.0,専門教育科目,数学,,選択,2,後期,,,,,,
数値解析学,2.0,専門教育科目,数学,,選択,3,前期,,,,,,
確率・統計Ⅰ,2.0,専門教育科目,数学,,選択,2,後期,,,,,,
確率・統計Ⅱ,2.0,専門教育科目,数学,,選択,3,前期,,,,,,
ベクトルおよびテンソル,2.0,専門教育科目,数学,,選択,2,後期,,,,,,
複素解析学Ⅰ,2.0,専門教育科目,数学,,選択,2,後期,,,,,,
複素解析学Ⅱ,2.0,専門教育科目,数学,,選択,3,後期,,,,,,
フーリエ解析,2.0,専門教育科目,数学,,選択,3,後期,,,,,,
工業力学Ⅰおよび演習,3.0,専門教育科目,機械基礎,力学,必修,1,前期,160工業,ものづくり・医療福祉・人間機械,,,,
工業力学Ⅱおよび演習,3.0,専門教育科目,機械基礎,力学,選択,1,後期,160工業,ものづくり・医療福祉・人間機械,,,,
材料力学Ⅰおよび演習,3.0,専門教育科目,機械基礎,力学,必修,2,前期,160工業・172機械,ものづくり・医療福祉・人間機械,,,,
材料力学Ⅱ,2.0,専門教育科目,機械基礎,力学,選択,2,後期,160工業・172機械,ものづくり・医療福祉・人間機械,,,,
機械力学Ⅰおよび演習,3.0,専門教育科目,機械基礎,力学,選択,3,前期,160工業・172機械,ものづくり・医療福祉・人間機械,,,,
機械力学Ⅱ,2.0,専門教育科目,機械基礎,力学,選択,3,後期,160工業・172機械,ものづくり・医療福祉・人間機械,,,,
流体の力学および演習,3.0,専門教育科目,機械基礎,力学,選択,2,前期,160工業,ものづくり・医療福祉・人間機械,,,,
熱力学および演習,3.0,専門教育科目,機械基礎,力学,選択,2,後期,160工業・172機械,ものづくり・医療福祉・人間機械,,,,
材料工学,2.0,専門教育科目,機械基礎,材料加工,必修,2,前期,160工業・172機械,ものづくり・医療福祉・人間機械,,,,
機械材料学,2.0,専門教育科目,機械基礎,材料加工,選択,2,後期,160工業・172機械,ものづくり,,,,
加工学基礎,2.0,専門教育科目,機械基礎,材料加工,必修,2,前期,160工業・171金属,ものづくり・医療福祉・人間機械,,,,
機構学,2.0,専門教育科目,機械基礎,設計,選択,2,前期,160工業・172機械,ものづくり・医療福祉・人間機械,,,,
機械要素設計,2.0,専門教育科目,機械基礎,設計,必修,3,前期,160工業・172機械,ものづくり・医療福祉・人間機械,,,,
機械設計学,2.0,専門教育科目,機械基礎,設計,選択,3,後期,160工業・172機械,ものづくり・医療福祉・人間機械,,,,
品質管理,2.0,専門教育科目,機械基礎,設計,選択,3,後期,,ものづくり・医療福祉・人間機械,,,,
精密測定法Ⅰ,2.0,専門教育科目,機械発展,計測・制御・光学,必修,2,後期,160工業・172機械,ものづくり・医療福祉・人間機械,,,,
精密測定法Ⅱ,2.0,専門教育科目,機械発展,計測・制御・光学,選択,3,前期,160工業・172機械,ものづくり・医療福祉・人間機械,,,,
制御工学Ⅰ,2.0,専門教育科目,機械発展,計測・制御・光学,必修,3,前期,160工業・172機械,ものづくり・医療福祉・人間機械,,,,
制御工学Ⅱ,2.0,専門教育科目,機械発展,計測・制御・光学,選択,3,後期,160工業,人間機械,,,,
光学基礎,2.0,専門教育科目,機械発展,計測・制御・光学,選択,2,後期,160工業,ものづくり・医療福祉・人間機械,,,,
情報処理工学Ⅰ,2.0,専門教育科目,機械発展,情報,選択,2,後期,160工業・175情報,ものづくり・医療福祉・人間機械,,,,
情報処理工学Ⅱ,2.0,専門教育科目,機械発展,情報,選択,3,後期,160工業・175情報,ものづくり・医療福祉・人間機械,,,,
電子工学,2.0,専門教育科目,機械発展,電気・電子,選択,2,後期,160工業・173電気,ものづくり・医療福祉・人間機械,,,,
電気工学,2.0,専門教育科目,機械発展,電気・電子,選択,3,前期,160工業・173電気,医療福祉・人間機械,,,,
メカトロニクス概論,2.0,専門教育科目,機械発展,電気・電子,選択,3,後期,160工業・173電気,医療福祉・人間機械,,,,
先端機械工学入門,1.0,専門教育科目,機械発展,先端機械,必修,1,前期,160工業・172機械,ものづくり・医療福祉・人間機械,,,,
光学応用機器,2.0,専門教育科目,機械発展,先端機械,選択,3,前期,160工業・172機械,ものづくり・医療福祉・人間機械,,,,
先端自動車工学,2.0,専門教育科目,機械発展,先端機械,選択,3,前期,160工業・172機械,人間機械,,,,
先端医用工学,2.0,専門教育科目,機械発展,先端機械,選択,3,前期,160工業・172機械,医療福祉,,,,
生産加工システムⅠ,2.0,専門教育科目,機械発展,先端機械,選択,3,前期,160工業・171金属,ものづくり,,,,
生産加工システムⅡ,2.0,専門教育科目,機械発展,先端機械,選択,3,後期,160工業・171金属,ものづくり,,,,
ワークショップⅡ,2.0,専門教育科目,機械発展,実験・実習,選択,1,後期,,,,,,
機械工学実験実習Ⅰ,2.0,専門教育科目,機械発展,実験・実習,必修,2,前期,160工業・172機械,,,,,
機械工学実験実習Ⅱ,2.0,専門教育科目,機械発展,実験・実習,必修,2,後期,160工業・172機械,,,,,
先端機械実験実習Ⅰ,2.0,専門教育科目,機械発展,実験・実習,必修,3,前期,160工業・172機械,,,,,
先端機械実験実習Ⅱ,2.0,専門教育科目,機械発展,実験・実習,必修,3,後期,160工業・172機械,,,,,
機械設計製図Ⅰ,2.0,専門教育科目,機械発展,製図,必修,2,前期,160工業・172機械,,,,,
機械設計製図Ⅱ,2.0,専門教育科目,機械発展,製図,必修,2,後期,160工業・172機械,,,,,
先端機械設計製図Ⅰ,2.0,専門教育科目,機械発展,製図,必修,3,前期,160工業・172機械,,,,,
先端機械設計製図Ⅱ,2.0,専門教育科目,機械発展,製図,必修,3,後期,160工業・172機械,,,,,
先端機械工学総合演習,2.0,専門教育科目,機械発展,卒業研究,必修,3,後期,,,,,,
卒業研究,6.0,専門教育科目,機械発展,卒業研究,必修,4,通年,,,,,,
プレゼンテーション,1.0,専門教育科目,レニキゼケャンーリテシアーョ・シンコョ・ミンプュ,卒業研究,選択,3,前期,,,,,,
キャリアデザイン,1.0,専門教育科目,レニキゼケャンーリテシアーョ・シンコョ・ミンプュ,卒業研究,選択,3,前期,,,,,,
インターンシップ,2.0,専門教育科目,レニキゼケャンーリテシアーョ・シンコョ・ミンプュ,卒業研究,選択,34,通年,,,,,,
職業指導,2.0,専門教育科目,教職関連,卒業研究,自由,3,前期,161職指,,,,,
木材加工,1.0,専門教育科目,教職関連,卒業研究,自由,2,前期,170木材,集中科目,,,,
栽培,1.0,専門教育科目,教職関連,卒業研究,自由,2,前期,174栽培,集中科目,,,,
工業技術概論,2.0,専門教育科目,教職関連,卒業研究,自由,3,後期,160工業,,,,,
