科目名,単位数,区分,第二区分,第三区分,必選自,配当年,配当期,教職コード,備考,JABEE目標,JABEE電力,JABEEシステム,JABEEデバイス
微分積分学および演習Ⅰ,4.0,工学基礎科目,数学,,必修,1,前期／後期,,初回の履修は、前期開講のクラスを履修すること,,,,
線形代数学Ⅰ,2.0,工学基礎科目,数学,,必修,1,前期／後期,,初回の履修は、前期開講のクラスを履修すること,,,,
基礎物理学,2.0,工学基礎科目,自然科学技術,,必修,1,前期／後期,,後期は再履修クラスの開講,,,,
物理基礎および物理実験,1.0,工学基礎科目,自然科学技術,,必修,1,前期／後期,,週2コマ開講「化学基礎および化学実験」との隔週開講,,,,
化学基礎および化学実験,1.0,工学基礎科目,自然科学技術,,必修,1,前期／後期,,週2コマ開講「物理基礎および物理実験」との隔週開講,,,,
物理学概論および演習A,2.0,工学基礎科目,自然科学技術,,択一必修,1,後期,,択一必修（左記の科目からから2単位を修得すること）,,,,
物理学概論および演習B,2.0,工学基礎科目,自然科学技術,,必修,1,後期,,,,,,
物理学概論および演習C,2.0,工学基礎科目,自然科学技術,,必修,1,後期,,,,,,
科学技術概論A,2.0,工学基礎科目,自然科学技術,,必修,1,前期／後期,,,,,,
科学技術概論B,2.0,工学基礎科目,自然科学技術,,必修,1,前期／後期,,,,,,
科学技術概論C,2.0,工学基礎科目,自然科学技術,,必修,1,前期／後期,,,,,,
科学技術概論D,2.0,工学基礎科目,自然科学技術,,必修,1,前期／後期,,,,,,
ワークショップ,2.0,工学基礎科目,ワークショップ,,必修,1,前期,,,,,,
情報リテラシー（数理・データサイエンス入門）,2.0,工学基礎科目,情報,,必修,1,前期,基礎要件,,,,,
コンピュータプログラミングⅠ,2.0,工学基礎科目,情報,,必修,1,前期,基礎要件,,,,,
微分積分学および演習Ⅱ,4.0,専門教育科目,基礎共通科目,,選択,1,後期,,,,,,
線形代数学Ⅱ,2.0,専門教育科目,基礎共通科目,,選択,1,後期,,,,,,
微分方程式Ⅰ,2.0,専門教育科目,基礎共通科目,,選択,2,前期,,,,,,
確率・統計Ⅰ,2.0,専門教育科目,基礎共通科目,,選択,2,前期,,,,,,
ベクトル解析,2.0,専門教育科目,基礎共通科目,,選択,2,前期,,,,,,
フーリエ解析,2.0,専門教育科目,基礎共通科目,,選択,2,後期,,,,,,
数値解析学,2.0,専門教育科目,基礎共通科目,,選択,2,前期,,,,,,
複素解析学Ⅰ,2.0,専門教育科目,基礎共通科目,,選択,3,前期,,,,,,
インターンシップ,2.0,専門教育科目,専門科目,,選択,34,通年,,,,,,
ワークショップⅡ,2.0,専門教育科目,専門科目,,選択,1,後期,,,,,,
電子システム工学総合演習,2.0,専門教育科目,専門科目,,必修,3,後期,,アセスメント科目,,,,
電子システム工学入門,2.0,専門教育科目,専門科目,,選択,1,前期,160工業・173電気,,,,,
電気回路基礎,2.0,専門教育科目,専門科目,,必修,1,後期,160工業・173電気,,,,,
電磁気学Ⅰ,2.0,専門教育科目,専門科目,,必修,2,前期,160工業・173電気,,,,,
電磁気学Ⅱ,2.0,専門教育科目,専門科目,,必修,2後,前期／後期,160工業・173電気,2年前期は履修不可,,,,
電磁気学Ⅲ,2.0,専門教育科目,専門科目,,選択,3,前期,160工業・173電気,,,,,
電気回路Ⅰ,4.0,専門教育科目,専門科目,,必修,2,前期,160工業・173電気,,,,,
電気回路Ⅱ,2.0,専門教育科目,専門科目,,選択,2,後期,160工業・173電気,,,,,
回路解析,2.0,専門教育科目,専門科目,,選択,3,前期,160工業・173電気,,,,,
電子回路Ⅰ,2.0,専門教育科目,専門科目,,必修,2,後期,160工業・173電気,,,,,
電子回路Ⅱ,2.0,専門教育科目,専門科目,,選択,3,前期,160工業・173電気,,,,,
論理回路設計,2.0,専門教育科目,専門科目,,選択,2,後期,160工業・173電気,,,,,
論理システム設計,2.0,専門教育科目,専門科目,,選択,3,前期,131情②・175情報,,,,,
電子計測,2.0,専門教育科目,専門科目,,選択,2,後期,160工業・173電気,,,,,
自動制御,2.0,専門教育科目,専門科目,,選択,3,前期,131情②・175情報,,,,,
半導体物理基礎,2.0,専門教育科目,専門科目,,選択,2,前期,160工業・173電気,,,,,
量子物理学,2.0,専門教育科目,専門科目,,選択,2,後期,160工業・173電気,,,,,
電子・光材料,2.0,専門教育科目,専門科目,,選択,3,前期,160工業・173電気,,,,,
電子デバイスⅠ,2.0,専門教育科目,専門科目,,選択,3,前期,160工業・173電気,,,,,
電子デバイスⅡ,2.0,専門教育科目,専門科目,,選択,3,後期,160工業・173電気,,,,,
プログラミング基礎,4.0,専門教育科目,専門科目,,選択,1,後期,131情②・175情報,,,,,
プログラミングⅠ,2.0,専門教育科目,専門科目,,必修,2,前期,131情②・175情報,,,,,
プログラミングⅡ,2.0,専門教育科目,専門科目,,選択,2,後期,131情②・175情報,,,,,
ホームエレクトロニクス,2.0,専門教育科目,専門科目,,選択,1,後期,160工業・173電気,,,,,
基礎光学,2.0,専門教育科目,専門科目,,選択,2,前期,133情④,,,,,
マイクロプロセッサ応用,2.0,専門教育科目,専門科目,,選択,3,後期,132情③,,,,,
コンピュータアーキテクチャ,2.0,専門教育科目,専門科目,,選択,3,前期,131情②・175情報,,,,,
信号処理,2.0,専門教育科目,専門科目,,選択,3,前期,132情③,,,,,
応用信号処理,2.0,専門教育科目,専門科目,,選択,3,後期,132情③,,,,,
電気電子機器,2.0,専門教育科目,専門科目,,選択,3,後期,160工業・173電気,,,,,
人工知能基礎,2.0,専門教育科目,専門科目,,選択,2,後期,132情③,,,,,
光エレクトロニクス,2.0,専門教育科目,専門科目,,選択,2,後期,133情④,,,,,
情報理論,2.0,専門教育科目,専門科目,,選択,2,前期,133情④,,,,,
高周波回路,2.0,専門教育科目,専門科目,,選択,34,前期,160工業・173電気,,,,,
通信機器,2.0,専門教育科目,専門科目,,選択,34,後期,133情④,,,,,
音響工学,2.0,専門教育科目,専門科目,,選択,34,後期,134情⑤,,,,,
電磁波工学,2.0,専門教育科目,専門科目,,選択,34,後期,160工業・173電気,,,,,
センサーエレクトロニクス,2.0,専門教育科目,専門科目,,選択,34,前期,160工業・173電気,,,,,
光通信工学,2.0,専門教育科目,専門科目,,選択,34,前期,133情④,,,,,
光情報処理,2.0,専門教育科目,専門科目,,選択,34,後期,131情②・175情報,,,,,
非線形光学,2.0,専門教育科目,専門科目,,選択,34,後期,133情④,,,,,
電子システム工学基礎実験Ⅰ,2.0,専門教育科目,専門科目,,必修,2,前期,160工業・173電気,,,,,
電子システム工学基礎実験Ⅱ,2.0,専門教育科目,専門科目,,必修,2,後期,160工業・173電気,,,,,
電子システム工学実験Ⅰ,2.0,専門教育科目,専門科目,,必修,3,前期,160工業・173電気,,,,,
電子システム工学実験Ⅱ,2.0,専門教育科目,専門科目,,必修,3,後期,160工業・173電気,,,,,
電気電子キャリア演習,1.0,専門教育科目,専門科目,,選択,3,後期,,,,,,
コンピュータプレゼンテーションⅠ,2.0,専門教育科目,専門科目,,必修,4,前期,133情④,,,,,
コンピュータプレゼンテーションⅡ,2.0,専門教育科目,専門科目,,必修,4,後期,133情④,,,,,
技術英語,2.0,専門教育科目,専門科目,,選択,3,前期,,,,,,
ビジネス英語,2.0,専門教育科目,専門科目,,選択,3,後期,,,,,,
卒業研究,6.0,専門教育科目,専門科目,,必修,4,通年,,,,,,
通信法規,2.0,専門教育科目,専門科目,,選択,34,後期,,,,,,
品質管理,2.0,専門教育科目,専門科目,,選択,34,後期,,,,,,
コンピュータ基礎および演習Ⅲ,2.0,専門教育科目,教職関連科目,,自由,2,前期,131情②,,,,,
情報システムの基礎および演習,2.0,専門教育科目,教職関連科目,,自由,2,後期,132情③,,,,,
情報通信ネットワークの基礎および演習,2.0,専門教育科目,教職関連科目,,自由,2,後期,133情④,,,,,
マルチメディア表現技術の基礎および演習,2.0,専門教育科目,教職関連科目,,自由,2,前期,134情⑤,,,,,
職業指導,2.0,専門教育科目,教職関連科目,,自由,3,前期,161職指,,,,,
木材加工,1.0,専門教育科目,教職関連科目,,自由,2,前期,170木材,前期集中,,,,
栽培,1.0,専門教育科目,教職関連科目,,自由,2,前期,174栽培,前期集中,,,,
工業技術概論,2.0,専門教育科目,教職関連科目,,自由,3,後期,160工業,,,,,
機械のしくみ,1.0,専門教育科目,教職関連科目,,自由,2,前期,160工業・172機械,前期集中,,,,
加工学基礎,2.0,専門教育科目,教職関連科目,,自由,2,前期,171金属,,,,,
