科目名,単位数,区分,第二区分,第三区分,必選自,配当年,配当期,教職コード,備考,JABEE目標,JABEE電力,JABEEシステム,JABEEデバイス
微分積分学Ⅰ,2.0,工学基礎科目,自然科学科目,数学,必修,1,前期,,後期に再履修クラスを開講初歩クラスは週2コマ,,,,
線形代数学Ⅰ,2.0,工学基礎科目,自然科学科目,数学,必修,1,前期,,後期に再履修クラスを開講オープン科目,,,,
数学演習A,2.0,工学基礎科目,自然科学科目,数学,必修,1,前期,,後期に再履修クラスを開講,,,,
数理・データサイエンス入門,2.0,工学基礎科目,自然科学科目,情報,必修,1,前期,基礎要件,,,,,
コンピュータプログラミングⅠ,2.0,工学基礎科目,自然科学科目,情報,必修,1,後期,基礎要件,,,,,
物理学実験,1.0,工学基礎科目,自然科学科目,自然科学技術,必修,1,前期／後期,,週2コマ開講、「化学実験」との隔週開講初回の履修は、前期開講のクラスを履修すること,,,,
化学実験,1.0,工学基礎科目,自然科学科目,自然科学技術,必修,1,前期／後期,,週2コマ開講、「物理学実験」との隔週開講初回の履修は、前期開講のクラスを履修すること,,,,
基礎物理学,2.0,工学基礎科目,自然科学科目,自然科学技術,必修,1,前期,,後期に再履修クラスを開講,,,,
物理学A,2.0,工学基礎科目,自然科学科目,自然科学技術,択一必修,1,後期,,科学技術概論A～E、物理学A～Cから択一必修科学技術概論A～Eはオープン科目,,,,
物理学B,2.0,工学基礎科目,自然科学科目,自然科学技術,必修,1,後期,,,,,,
物理学C,2.0,工学基礎科目,自然科学科目,自然科学技術,必修,1,後期,,,,,,
科学技術概論A,2.0,工学基礎科目,自然科学科目,自然科学技術,必修,1,前期／後期,,,,,,
科学技術概論B,2.0,工学基礎科目,自然科学科目,自然科学技術,必修,1,前期／後期,,,,,,
科学技術概論C,2.0,工学基礎科目,自然科学科目,自然科学技術,必修,1,前期／後期,,,,,,
科学技術概論D,2.0,工学基礎科目,自然科学科目,自然科学技術,必修,1,前期／後期,,,,,,
科学技術概論E,2.0,工学基礎科目,自然科学科目,自然科学技術,必修,1,前期／後期,,,,,,
ハンズオンワークショップ,2.0,工学基礎科目,ハンズオンワークショップ,自然科学技術,必修,1,前期,,,,,,
微分積分学Ⅱおよび演習,4.0,専門教育科目,ハンズオンワークショップ,数学科目,選択,1,後期,112解析,,,,,
線形代数学Ⅱ,2.0,専門教育科目,ハンズオンワークショップ,数学科目,選択,1,後期,110代数,,,,,
微分方程式Ⅰ,2.0,専門教育科目,ハンズオンワークショップ,数学科目,選択,2,前期,112解析,,,,,
微分方程式Ⅱ,2.0,専門教育科目,ハンズオンワークショップ,数学科目,選択,2,後期,112解析,,,,,
ベクトルおよびテンソル,2.0,専門教育科目,ハンズオンワークショップ,数学科目,選択,2,後期,112解析,,,,,
フーリエ解析,2.0,専門教育科目,ハンズオンワークショップ,数学科目,選択,2,後期,112解析,,,,,
複素解析学Ⅰ,2.0,専門教育科目,ハンズオンワークショップ,数学科目,選択,2,後期,112解析,,,,,
複素解析学Ⅱ,2.0,専門教育科目,ハンズオンワークショップ,数学科目,選択,3,後期,112解析,,,,,
数値解析学,2.0,専門教育科目,ハンズオンワークショップ,数学科目,選択,3,後期,112解析,,,,,
確率・統計Ⅰ,2.0,専門教育科目,ハンズオンワークショップ,数学科目,選択,2,後期,113確統,,,,,
確率・統計Ⅱ,2.0,専門教育科目,ハンズオンワークショップ,数学科目,選択,3,前期,113確統,,,,,
基礎化学,2.0,専門教育科目,ハンズオンワークショップ,専門基礎科目,選択,1,後期,,,,,,
工業力学Ⅰおよび演習,3.0,専門教育科目,ハンズオンワークショップ,専門基礎科目,必修,1,前期,160工業,,,,,
工業力学Ⅱおよび演習,3.0,専門教育科目,ハンズオンワークショップ,専門基礎科目,選択,1,後期,160工業,,,,,
ワークショップⅡ,2.0,専門教育科目,ハンズオンワークショップ,専門基礎科目,選択,1,後期,,,,,,
材料力学Ⅰおよび演習,3.0,専門教育科目,ハンズオンワークショップ,材料系科目,必修,2,前期,160工業,,,,,
材料力学Ⅱ,2.0,専門教育科目,ハンズオンワークショップ,材料系科目,選択,2,後期,160工業,,,,,
材料工学,2.0,専門教育科目,ハンズオンワークショップ,材料系科目,選択,2,前期,160工業,,,,,
材料強度学,2.0,専門教育科目,ハンズオンワークショップ,材料系科目,選択,3,後期,160工業,,,,,
弾塑性学,2.0,専門教育科目,ハンズオンワークショップ,材料系科目,選択,3,前期,160工業,,,,,
加工学基礎および演習,3.0,専門教育科目,ハンズオンワークショップ,加工系科目,必修,2,前期,160工業,,,,,
機械加工学,2.0,専門教育科目,ハンズオンワークショップ,加工系科目,選択,3,前期,160工業,,,,,
流体の力学Ⅰおよび演習,3.0,専門教育科目,ハンズオンワークショップ,流体系科目,必修,2,前期,160工業,,,,,
流体の力学Ⅱ,2.0,専門教育科目,ハンズオンワークショップ,流体系科目,選択,3,前期,160工業,,,,,
粘性流体力学,2.0,専門教育科目,ハンズオンワークショップ,流体系科目,選択,2,後期,160工業,,,,,
流体機械,2.0,専門教育科目,ハンズオンワークショップ,流体系科目,選択,3,後期,160工業,,,,,
