科目名,単位数,区分,第二区分,第三区分,必選自,配当年,配当期,教職コード,備考,JABEE目標,JABEE電力,JABEEシステム,JABEEデバイス
微分積分学Ⅰ,2.0,工学基礎科目,自然科学科目,数学,必修,1,前期,,後期に再履修クラスを開講初歩クラスは週2コマ,,,,
線形代数学Ⅰ,2.0,工学基礎科目,自然科学科目,数学,必修,1,前期,,後期に再履修クラスを開講オープン科目,,,,
数学演習A,2.0,工学基礎科目,自然科学科目,数学,必修,1,前期,,後期に再履修クラスを開講,,,,
数理・データサイエンス入門,2.0,工学基礎科目,自然科学科目,情報,必修,1,前期,基礎要件,,,,,
コンピュータプログラミングⅠ,2.0,工学基礎科目,自然科学科目,情報,必修,1,前期／後期,基礎要件,,,,,
物理リテラシー,1.0,工学基礎科目,自然科学科目,自然科学技術,必修,1,後期,,週1コマ開講、「化学リテラシー」との隔週開講,,,,
化学リテラシー,1.0,工学基礎科目,自然科学科目,自然科学技術,必修,1,後期,,週1コマ開講、「物理リテラシー」との隔週開講,,,,
基礎物理学,2.0,工学基礎科目,自然科学科目,自然科学技術,選択,1,前期,,後期に再履修クラスを開講,,,,
科学技術概論A,2.0,工学基礎科目,自然科学科目,自然科学技術,選択,1,前期／後期,,オープン科目,,,,
科学技術概論B,2.0,工学基礎科目,自然科学科目,自然科学技術,選択,1,前期／後期,,,,,,
科学技術概論C,2.0,工学基礎科目,自然科学科目,自然科学技術,選択,1,前期／後期,,,,,,
科学技術概論D,2.0,工学基礎科目,自然科学科目,自然科学技術,選択,1,前期／後期,,,,,,
科学技術概論E,2.0,工学基礎科目,自然科学科目,自然科学技術,選択,1,前期／後期,,,,,,
ハンズオンワークショップ,2.0,工学基礎科目,ハンズオンワークショップ,自然科学技術,必修,1,前期,,,,,,
微分積分学Ⅱおよび演習,4.0,専門教育科目,数理科目,自然科学技術,選択,1,後期,112解析,,,,,
線形代数学Ⅱ,2.0,専門教育科目,数理科目,自然科学技術,選択,1,後期,110代数,,,,,
離散数学（基礎情報数学A）,2.0,専門教育科目,数理科目,自然科学技術,必修,1,後期,114コンピュ,,,,,
代数学入門,2.0,専門教育科目,数理科目,自然科学技術,選択,1,後期,110代数,,,,,
線形代数学Ⅲ,2.0,専門教育科目,数理科目,自然科学技術,選択,2,前期,110代数,,,,,
