科目名,単位数,区分,第二区分,第三区分,必選自,配当年,配当期,教職コード,備考,JABEE目標,JABEE電力,JABEEシステム,JABEEデバイス
東京電機大学で学ぶ,2.0,専門教育科目,基礎1,,選択,1,前期,,導入科目 1年次のみ履修可,,,,
微分積分学および演習Ⅰ,4.0,専門教育科目,基礎1,,選択,1,前期,,,,,,
微分積分学および演習Ⅱ,4.0,専門教育科目,基礎1,,選択,1,後期,,,,,,
線形代数学Ⅰ,2.0,専門教育科目,基礎1,,選択,1,前期,,,,,,
線形代数学Ⅱ,2.0,専門教育科目,基礎1,,選択,1,後期,,,,,,
微分方程式Ⅰ,2.0,専門教育科目,基礎1,,選択,2,前期,,,,,,
物理学Ⅰ,2.0,専門教育科目,基礎1,,選択,1,前期,,,,,,
コンピュータリテラシィ,2.0,専門教育科目,基礎1,,選択,1,前期,160工業,,,,,
コンピュータプログラミングおよび演習Ⅰ,2.0,専門教育科目,基礎1,,必修,1,前期,基礎要件,,,,,
情報通信基礎,2.0,専門教育科目,基礎2,,必修,1,前期,1330情④,,,,,
電磁気学の基礎および演習,3.0,専門教育科目,基礎2,,選択,2,前期,160工業,,,,,
電気回路の基礎および演習,2.0,専門教育科目,基礎2,,必修,1,前期,160工業,,,,,
エレクトロニクスの基礎,2.0,専門教育科目,基礎2,,選択,2,前期,160工業,,,,,
コンピュータプログラミングおよび演習Ⅱ,2.0,専門教育科目,基礎2,,必修,1,後期,1310情②,,,,,
コンピュータ構成と機械語,2.0,専門教育科目,基礎2,,選択,2,前期,160工業,,,,,
データ構造とアルゴリズム,2.0,専門教育科目,基礎2,,選択,2,前期,1310情②,,,,,
インターネットプログラミング,2.0,専門教育科目,基礎2,,選択,2,後期,1330情④,,,,,
基礎情報数学A（離散数学）,2.0,専門教育科目,基礎2,,選択,1,後期,,,,,,
基礎情報数学B（確率と情報）,2.0,専門教育科目,基礎2,,選択,2,前期,,,,,,
基礎情報数学C（代数と符号）,2.0,専門教育科目,基礎2,,選択,2,後期,,,,,,
卒業研究A,2.0,専門教育科目,基礎2,,選択,4,通年,,卒業研究Bと択一選択,,,,
卒業研究B,4.0,専門教育科目,基礎2,,選択,4,通年,,卒業研究Aと択一選択,,,,
情報通信基礎実験Ⅰ,2.0,専門教育科目,実験,,必修,2,前期,160工業,,,,,
情報通信基礎実験Ⅱ,2.0,専門教育科目,実験,,必修,2,後期,160工業,,,,,
情報通信工学実験Ⅰ,2.0,専門教育科目,実験,,必修,3,前期,1310情②,,,,,
情報通信工学実験Ⅱ,2.0,専門教育科目,実験,,必修,3,後期,1310情②,,,,,
情報通信プロジェクト,4.0,専門教育科目,実験,,必修,4,通年,1320情③,,,,,
回路網の基礎,2.0,専門教育科目,情報通信・ネットワーキング,,選択,1,後期,160工業,,,,,
エレクトロニクスの応用,2.0,専門教育科目,情報通信・ネットワーキング,,選択,2,後期,160工業,,,,,
信号システム解析,2.0,専門教育科目,情報通信・ネットワーキング,,選択,2,後期,160工業,,,,,
ディジタル信号処理,2.0,専門教育科目,情報通信・ネットワーキング,,選択,3,前期,160工業,,,,,
応用物理学,2.0,専門教育科目,情報通信・ネットワーキング,,選択,3,前期,160工業,,,,,
電磁気学の応用,2.0,専門教育科目,情報通信・ネットワーキング,,選択,2,後期,160工業,,,,,
電波工学,2.0,専門教育科目,情報通信・ネットワーキング,,選択,3,前期,160工業,,,,,
信号理論,2.0,専門教育科目,情報通信・ネットワーキング,,選択,2,前期,160工業,,,,,
通信工学の基礎,2.0,専門教育科目,情報通信・ネットワーキング,,選択,2,後期,160工業,,,,,
通信システム,2.0,専門教育科目,情報通信・ネットワーキング,,選択,3,前期,160工業,,,,,
通信ネットワーク,2.0,専門教育科目,情報通信・ネットワーキング,,選択,3,後期,1330情④,,,,,
情報ネットワーク,2.0,専門教育科目,情報通信・ネットワーキング,,選択,3,後期,1330情④,,,,,
ワイヤレスシステム工学,2.0,専門教育科目,情報通信・ネットワーキング,,選択,4,前期,160工業,,,,,
光ファイバ通信,2.0,専門教育科目,情報通信・ネットワーキング,,選択,4,前期,160工業,,,,,
計測と制御,2.0,専門教育科目,情報通信・ネットワーキング,,選択,3,後期,1310情②,,,,,
画像処理工学,2.0,専門教育科目,コンマピルュチーメテディィンアグ・,,選択,4,前期,1340情⑤,,,,,
データベース,2.0,専門教育科目,コンマピルュチーメテディィンアグ・,,選択,3,前期,1320情③,,,,,
ヒューマンインタフェース,2.0,専門教育科目,コンマピルュチーメテディィンアグ・,,選択,4,後期,160工業,,,,,
論理回路および論理設計,2.0,専門教育科目,コンマピルュチーメテディィンアグ・,,選択,2,後期,160工業,,,,,
コンピュータアーキテクチャ,2.0,専門教育科目,コンマピルュチーメテディィンアグ・,,選択,3,前期,160工業,,,,,
マルチメディア通信工学,2.0,専門教育科目,コンマピルュチーメテディィンアグ・,,選択,3,後期,1340情⑤,,,,,
ネットワークセキュリティ,2.0,専門教育科目,コンマピルュチーメテディィンアグ・,,選択,3,後期,1330情④,,,,,
通信法規,2.0,専門教育科目,その他,,選択,4,後期,160工業,,,,,
