科目名,単位数,区分,第二区分,第三区分,必選自,配当年,配当期,教職コード,備考,JABEE目標,JABEE電力,JABEEシステム,JABEEデバイス
東京電機大学で学ぶ,2.0,専門教育科目,基礎,,選択,1,前期,,導入科目 1年次のみ履修可,,,,
物理学Ⅰ,2.0,専門教育科目,基礎,,選択,1,前期,,,,,,
物理学Ⅱ,2.0,専門教育科目,基礎,,選択,1,後期,,,,,,
物理学Ⅲ,2.0,専門教育科目,基礎,,選択,2,前期,,,,,,
化学Ⅰ,2.0,専門教育科目,基礎,,選択,1,前期,,,,,,
化学Ⅱ,2.0,専門教育科目,基礎,,選択,1,後期,,,,,,
電磁気学および演習Ⅰ,4.0,専門教育科目,電磁気学,,必修,2,前期,160工業,,,,,
電磁気学および演習Ⅱ,4.0,専門教育科目,電磁気学,,選択,2,後期,160工業,,,,,
回路理論および演習Ⅰ,2.0,専門教育科目,回路理論,,必修,1,前期,160工業,,,,,
回路理論および演習Ⅱ,2.0,専門教育科目,回路理論,,必修,1,後期,160工業,,,,,
回路理論および演習Ⅲ,2.0,専門教育科目,回路理論,,選択,2,前期,160工業,,,,,
回路理論および演習Ⅳ,2.0,専門教育科目,回路理論,,選択,2,後期,160工業,,,,,
過渡現象,2.0,専門教育科目,回路理論,,選択,3,前期,160工業,,,,,
物性物理学,2.0,専門教育科目,半導体デバイス・電子材料・物理,,選択,2,後期,160工業,,,,,
電子デバイスⅠ,2.0,専門教育科目,半導体デバイス・電子材料・物理,,選択,2,後期,160工業,,,,,
電子デバイスⅡ,2.0,専門教育科目,半導体デバイス・電子材料・物理,,選択,3,前期,160工業,,,,,
電気電子材料,2.0,専門教育科目,半導体デバイス・電子材料・物理,,選択,3,前期,160工業,,,,,
センサ工学,2.0,専門教育科目,半導体デバイス・電子材料・物理,,選択,4,前期,160工業,,,,,
電気機器Ⅰ,2.0,専門教育科目,パワーエレクトロニクス・電気機器,,選択,3,前期,160工業,,,,,
電気機器Ⅱ,2.0,専門教育科目,パワーエレクトロニクス・電気機器,,選択,3,後期,160工業,,,,,
パワーエレクトロニクス,2.0,専門教育科目,パワーエレクトロニクス・電気機器,,選択,3,後期,160工業,,,,,
電機設計および電気製図,2.0,専門教育科目,パワーエレクトロニクス・電気機器,,選択,4,後期,160工業,,,,,
電気電子計測,2.0,専門教育科目,計測・制御システム,,選択,2,前期,160工業,,,,,
制御工学Ⅰ,2.0,専門教育科目,計測・制御システム,,選択,3,前期,1310情②,,,,,
制御工学Ⅱ,2.0,専門教育科目,計測・制御システム,,選択,3,後期,1310情②,,,,,
