科目名,単位数,区分,第二区分,第三区分,必選自,配当年,配当期,教職コード,備考,JABEE目標,JABEE電力,JABEEシステム,JABEEデバイス
東京電機大学で学ぶ,2.0,専門教育科目,基礎,,選択,1,前期,,導入科目1年次のみ履修可,,,,
線形代数学Ⅰ,2.0,専門教育科目,基礎,,必修,1,前期,,,,,,
線形代数学Ⅱ,2.0,専門教育科目,基礎,,選択,1,後期,,,,,,
物理学Ⅰ,2.0,専門教育科目,基礎,,選択,1,前期,,,,,,
物理学Ⅱ,2.0,専門教育科目,基礎,,選択,1,後期,,,,,,
化学Ⅰ,2.0,専門教育科目,基礎,,選択,1,前期,,,,,,
化学Ⅱ,2.0,専門教育科目,基礎,,選択,1,後期,,,,,,
微分積分学および演習Ⅰ,4.0,専門教育科目,学科共通必修科目,,必修,1,前期,,,,,,
機械設計製図Ⅰ,2.0,専門教育科目,学科共通必修科目,,必修,2,後期,1340情⑤,,,,,
機械設計製図Ⅱ,2.0,専門教育科目,学科共通必修科目,,必修,3,通年,1320情③,,,,,
機械工学実験Ⅰ,2.0,専門教育科目,学科共通必修科目,,必修,2,前期,160工業,,,,,
機械工学実験Ⅱ,1.0,専門教育科目,学科共通必修科目,,必修,3,前期,160工業,,,,,
機械工学実験Ⅲ,1.0,専門教育科目,学科共通必修科目,,必修,3,後期,160工業,,,,,
機械工作実習,2.0,専門教育科目,学科共通必修科目,,必修,4,通年,160工業,,,,,
材料力学Ⅰおよび演習,3.0,専門教育科目,材料と加工,,必修,2,前期,160工業,,,,,
材料力学Ⅱ,2.0,専門教育科目,材料と加工,,選択,2,後期,160工業,,,,,
機械加工学Ⅰおよび演習,3.0,専門教育科目,材料と加工,,必修,2,前期,160工業,,,,,
機械加工学Ⅱ,2.0,専門教育科目,材料と加工,,選択,2,後期,160工業,,,,,
材料工学,2.0,専門教育科目,材料と加工,,選択,2,前期,160工業,,,,,
材料強度学,2.0,専門教育科目,材料と加工,,選択,3,後期,160工業,,,,,
工業熱力学および演習,3.0,専門教育科目,エネルギー,,必修,2,前期,160工業,,,,,
伝熱工学,2.0,専門教育科目,エネルギー,,選択,3,前期,160工業,,,,,
流体の力学Ⅰおよび演習,3.0,専門教育科目,エネルギー,,必修,2,後期,160工業,,,,,
流体の力学Ⅱ,2.0,専門教育科目,エネルギー,,選択,3,前期,160工業,,,,,
エネルギー変換工学,2.0,専門教育科目,エネルギー,,選択,4,後期,160工業,,,,,
熱機関,2.0,専門教育科目,エネルギー,,選択,3,前期,160工業,,,,,
流体機械,2.0,専門教育科目,エネルギー,,選択,3,後期,160工業,,,,,
メカトロニクス概論,2.0,専門教育科目,情報と機械システム,,選択,1,前期,1310情②,,,,,
機械要素設計および演習,3.0,専門教育科目,情報と機械システム,,選択,2,後期,160工業,,,,,
振動工学Ⅰおよび演習,3.0,専門教育科目,情報と機械システム,,必修,2,後期,160工業,,,,,
振動工学Ⅱ,2.0,専門教育科目,情報と機械システム,,選択,3,前期,160工業,,,,,
制御工学Ⅰ,2.0,専門教育科目,情報と機械システム,,選択,3,前期,1310情②,,,,,
制御工学Ⅱ,2.0,専門教育科目,情報と機械システム,,選択,3,後期,1310情②,,,,,
計測工学,2.0,専門教育科目,情報と機械システム,,選択,3,後期,1310情②,,,,,
応用システム工学,2.0,専門教育科目,情報と機械システム,,選択,4,前期,1320情③,,,,,
ロボット工学,2.0,専門教育科目,情報と機械システム,,選択,4,後期,1320情③,,,,,
計算機援用設計,2.0,専門教育科目,情報と機械システム,,選択,4,前期,1340情⑤,,,,,
工業力学Ⅰおよび演習,3.0,専門教育科目,学科共通科目,,必修,1,前期,160工業,,,,,
工業力学Ⅱおよび演習,3.0,専門教育科目,学科共通科目,,必修,1,後期,160工業,,,,,
コンピュータ基礎および演習Ⅰ,2.0,専門教育科目,学科共通科目,,必修,1,前期,基礎要件,,,,,
コンピュータ基礎および演習Ⅱ,2.0,専門教育科目,学科共通科目,,選択,1,後期,1310情②,,,,,
コンピュータプログラミングおよび演習,2.0,専門教育科目,学科共通科目,,選択,3,後期,1310情②,,,,,
微分積分学および演習Ⅱ,4.0,専門教育科目,学科共通科目,,選択,1,後期,,,,,,
微分方程式Ⅰ,2.0,専門教育科目,学科共通科目,,選択,2,前期,,,,,,
微分方程式Ⅱ,2.0,専門教育科目,学科共通科目,,選択,2,後期,,,,,,
確率・統計,2.0,専門教育科目,学科共通科目,,選択,3,前期,,,,,,
複素解析学,2.0,専門教育科目,学科共通科目,,選択,3,後期,,,,,,
システム工学,2.0,専門教育科目,学科共通科目,,選択,4,前期,160工業,,,,,
卒業研究Ａ,3.0,専門教育科目,学科共通科目,,選択,4,通年,,卒業研究Ｂと択一選択,,,,
卒業研究Ｂ,6.0,専門教育科目,学科共通科目,,選択,4,通年,,卒業研究Ａと択一選択,,,,
コンピュータ基礎および演習Ⅲ,2.0,専門教育科目,教職関連科目,,自由,234,前期,1310情②,,,,,
情報システムの基礎および演習,2.0,専門教育科目,教職関連科目,,自由,234,後期,1320情③,,,,,
情報通信ネットワークの基礎および演習,2.0,専門教育科目,教職関連科目,,自由,234,後期,1330情④,,,,,
マルチメディア表現技術の基礎および演習,2.0,専門教育科目,教職関連科目,,自由,234,前期,1340情⑤,,,,,
職業指導,2.0,専門教育科目,教職関連科目,,自由,3,前期,161職指,,,,,
工業技術概論,2.0,専門教育科目,教職関連科目,,自由,3,後期,160工業,,,,,
